step,upright,speed,reward,skill_name,fault_active
258,0.9872,0.088,0.5071,walk_forward,False
259,0.9878,0.0663,0.5128,walk_forward,False
260,0.9884,0.0516,0.498,walk_forward,False
261,0.9891,0.0709,0.5039,walk_forward,False
262,0.99,0.0915,0.4875,walk_forward,False
263,0.991,0.1044,0.4757,walk_forward,False
264,0.992,0.1069,0.4754,walk_forward,False
265,0.9929,0.1163,0.4677,walk_forward,False
266,0.9937,0.1032,0.4772,walk_forward,False
267,0.9944,0.085,0.487,walk_forward,False
268,0.995,0.0812,0.4835,walk_forward,False
269,0.9955,0.0701,0.4867,walk_forward,False
270,0.9959,0.0662,0.4906,walk_forward,False
271,0.9966,0.0984,0.4903,walk_forward,False
272,0.9973,0.1543,0.4676,walk_forward,False
273,0.9981,0.1967,0.4538,walk_forward,False
274,0.9988,0.2127,0.4525,walk_forward,False
275,0.9994,0.2109,0.4619,walk_forward,False
276,0.9997,0.206,0.4765,walk_forward,False
277,0.9999,0.1899,0.4933,walk_forward,False
278,1.0,0.1646,0.5262,walk_forward,False
279,1.0,0.1517,0.5511,walk_forward,False
280,0.9999,0.1266,0.5749,walk_forward,False
281,0.9999,0.0393,0.5389,walk_forward,False
282,1.0,0.1604,0.4979,walk_forward,False
283,0.9999,0.3153,0.4901,walk_forward,False
284,0.9994,0.3896,0.461,walk_forward,False
285,0.9981,0.4371,0.4497,walk_forward,False
286,0.9961,0.467,0.4827,walk_forward,False
287,0.9934,0.4203,0.4843,walk_forward,False
288,0.9905,0.3415,0.452,walk_forward,False
289,0.9876,0.3068,0.5049,walk_forward,False
290,0.9851,0.223,0.5195,walk_forward,False
291,0.9834,0.113,0.5276,walk_forward,False
292,0.9829,0.0259,0.5171,walk_forward,False
293,0.983,0.0775,0.5515,walk_forward,False
294,0.9837,0.1115,0.529,walk_forward,False
295,0.9846,0.1218,0.5407,walk_forward,False
296,0.9856,0.1042,0.5344,walk_forward,False
297,0.9864,0.0963,0.5136,walk_forward,False
298,0.9872,0.089,0.5056,walk_forward,False
299,0.9878,0.0665,0.5133,walk_forward,False
300,0.9884,0.0507,0.4988,walk_forward,False
301,0.9891,0.071,0.5031,walk_forward,False
302,0.99,0.0921,0.4871,walk_forward,False
303,0.991,0.1039,0.4763,walk_forward,False
304,0.992,0.1066,0.4755,walk_forward,False
305,0.9929,0.1168,0.4673,walk_forward,False
306,0.9937,0.1033,0.4772,walk_forward,False
307,0.9944,0.0846,0.4874,walk_forward,False
308,0.995,0.0813,0.4834,walk_forward,False
309,0.9955,0.0705,0.4864,walk_forward,False
310,0.9959,0.066,0.4908,walk_forward,False
311,0.9966,0.0982,0.4906,walk_forward,False
312,0.9973,0.1546,0.4676,walk_forward,False
313,0.9981,0.1968,0.4537,walk_forward,False
314,0.9988,0.2125,0.4527,walk_forward,False
315,0.9994,0.211,0.462,walk_forward,False
316,0.9997,0.2063,0.4763,walk_forward,False
317,0.9999,0.1896,0.4935,walk_forward,False
318,1.0,0.1645,0.5264,walk_forward,False
319,1.0,0.152,0.5509,walk_forward,False
320,0.9999,0.1266,0.5749,walk_forward,False
321,0.9999,0.0395,0.5391,walk_forward,False
322,1.0,0.1603,0.4978,walk_forward,False
323,0.9999,0.315,0.4898,walk_forward,False
324,0.9994,0.39,0.461,walk_forward,False
325,0.9981,0.4374,0.4497,walk_forward,False
326,0.9961,0.4666,0.4823,walk_forward,False
327,0.9934,0.4205,0.4844,walk_forward,False
328,0.9905,0.3446,0.4573,walk_forward,False
329,0.9876,0.307,0.502,walk_forward,False
330,0.9851,0.2214,0.521,walk_forward,False
331,0.9834,0.1179,0.5275,walk_forward,False
332,0.9829,0.0222,0.5152,walk_forward,False
333,0.983,0.081,0.558,walk_forward,False
334,0.9837,0.1127,0.5267,walk_forward,False
335,0.9846,0.1259,0.5449,walk_forward,False
336,0.9856,0.1065,0.539,walk_forward,False
337,0.9865,0.0989,0.5103,walk_forward,False
338,0.9872,0.0891,0.5076,walk_forward,False
339,0.9878,0.0665,0.5136,walk_forward,False
340,0.9885,0.0517,0.4971,walk_forward,False
341,0.9891,0.0703,0.5041,walk_forward,False
342,0.99,0.0915,0.487,walk_forward,False
343,0.991,0.1042,0.4754,walk_forward,False
344,0.992,0.1061,0.4756,walk_forward,False
345,0.9929,0.1163,0.4672,walk_forward,False
346,0.9937,0.1032,0.4769,walk_forward,False
347,0.9944,0.0845,0.487,walk_forward,False
348,0.995,0.081,0.4833,walk_forward,False
349,0.9955,0.0702,0.486,walk_forward,False
350,0.9959,0.0659,0.4903,walk_forward,False
351,0.9965,0.0954,0.4888,walk_forward,False
352,0.9973,0.1536,0.461,walk_forward,False
353,0.9981,0.1963,0.455,walk_forward,False
354,0.9988,0.2152,0.4524,walk_forward,False
355,0.9994,0.2099,0.4628,walk_forward,False
356,0.9997,0.2027,0.4745,walk_forward,False
357,0.9999,0.1951,0.4885,walk_forward,False
358,1.0,0.1598,0.528,walk_forward,False
359,1.0,0.1532,0.5497,walk_forward,False
360,0.9999,0.1269,0.5757,walk_forward,False
361,0.9999,0.04,0.5396,walk_forward,False
362,1.0,0.1604,0.4982,walk_forward,False
363,0.9999,0.3152,0.4902,walk_forward,False
364,0.9994,0.3894,0.4609,walk_forward,False
365,0.9981,0.4372,0.4496,walk_forward,False
366,0.9961,0.4673,0.4827,walk_forward,False
367,0.9934,0.4201,0.484,walk_forward,False
368,0.9905,0.3443,0.4563,walk_forward,False
369,0.9877,0.3071,0.5014,walk_forward,False
370,0.9851,0.2216,0.5198,walk_forward,False
371,0.9834,0.1176,0.5267,walk_forward,False
372,0.9829,0.0217,0.514,walk_forward,False
373,0.983,0.0787,0.5544,walk_forward,False
374,0.9837,0.1065,0.5199,walk_forward,False
375,0.9846,0.1217,0.5444,walk_forward,False
376,0.9856,0.1041,0.5337,walk_forward,False
377,0.9864,0.0966,0.513,walk_forward,False
378,0.9871,0.0879,0.5079,walk_forward,False
379,0.9878,0.0679,0.5117,walk_forward,False
380,0.9884,0.0517,0.4989,walk_forward,False
381,0.9891,0.0705,0.505,walk_forward,False
382,0.99,0.0928,0.4863,walk_forward,False
383,0.991,0.1051,0.4759,walk_forward,False
384,0.992,0.1061,0.4765,walk_forward,False
385,0.9929,0.1166,0.4676,walk_forward,False
386,0.9937,0.1041,0.4768,walk_forward,False
387,0.9944,0.0848,0.4876,walk_forward,False
388,0.995,0.0808,0.484,walk_forward,False
389,0.9955,0.0707,0.4864,walk_forward,False
390,0.9959,0.0666,0.4905,walk_forward,False
391,0.9966,0.098,0.4909,walk_forward,False
392,0.9973,0.1544,0.4682,walk_forward,False
393,0.9981,0.1972,0.454,walk_forward,False
394,0.9988,0.2126,0.453,walk_forward,False
395,0.9994,0.2108,0.4627,walk_forward,False
396,0.9997,0.2066,0.4768,walk_forward,False
397,0.9999,0.1902,0.4937,walk_forward,False
398,1.0,0.1645,0.527,walk_forward,False
399,1.0,0.1524,0.5516,walk_forward,False
400,0.9999,0.1272,0.575,walk_forward,False
401,0.9999,0.0399,0.5394,walk_forward,False
402,1.0,0.1605,0.4985,walk_forward,False
403,0.9999,0.3146,0.4901,walk_forward,False
404,0.9994,0.3895,0.461,walk_forward,False
405,0.9981,0.4377,0.4501,walk_forward,False
406,0.9961,0.4667,0.4825,walk_forward,False
407,0.9934,0.4199,0.4839,walk_forward,False
408,0.9905,0.3449,0.4573,walk_forward,False
409,0.9876,0.3075,0.5025,walk_forward,False
410,0.9851,0.2208,0.5205,walk_forward,False
411,0.9834,0.1178,0.5272,walk_forward,False
412,0.9829,0.0228,0.5156,walk_forward,False
413,0.983,0.0809,0.5578,walk_forward,False
414,0.9837,0.1128,0.5263,walk_forward,False
415,0.9846,0.1257,0.5454,walk_forward,False
416,0.9856,0.1064,0.5389,walk_forward,False
417,0.9865,0.0992,0.5099,walk_forward,False
418,0.9872,0.089,0.508,walk_forward,False
419,0.9878,0.0663,0.5137,walk_forward,False
420,0.9885,0.0519,0.4967,walk_forward,False
421,0.9891,0.0704,0.5041,walk_forward,False
422,0.99,0.0913,0.4872,walk_forward,False
423,0.991,0.1042,0.4753,walk_forward,False
424,0.992,0.1063,0.4755,walk_forward,False
425,0.9929,0.1162,0.4673,walk_forward,False
426,0.9937,0.1031,0.477,walk_forward,False
427,0.9944,0.0845,0.4869,walk_forward,False
428,0.995,0.081,0.4832,walk_forward,False
429,0.9955,0.0701,0.4861,walk_forward,False
430,0.9959,0.0659,0.4904,walk_forward,False
431,0.9965,0.0955,0.4888,walk_forward,False
432,0.9973,0.1536,0.461,walk_forward,False
433,0.9981,0.1962,0.455,walk_forward,False
434,0.9988,0.2152,0.4524,walk_forward,False
435,0.9994,0.2099,0.4628,walk_forward,False
436,0.9997,0.2059,0.4773,walk_forward,False
437,0.9999,0.191,0.4931,walk_forward,False
438,1.0,0.1644,0.5267,walk_forward,False
439,1.0,0.1513,0.5523,walk_forward,False
440,0.9999,0.1272,0.5748,walk_forward,False
441,0.9999,0.0388,0.5384,walk_forward,False
442,1.0,0.1616,0.4985,walk_forward,False
443,0.9999,0.3156,0.491,walk_forward,False
444,0.9994,0.3884,0.4606,walk_forward,False
445,0.9981,0.4374,0.4497,walk_forward,False
446,0.9961,0.4683,0.4836,walk_forward,False
447,0.9934,0.4191,0.483,walk_forward,False
448,0.9905,0.3414,0.4506,walk_forward,False
449,0.9876,0.3154,0.512,walk_forward,False
450,0.9852,0.2133,0.5099,walk_forward,False
451,0.9834,0.1179,0.5314,walk_forward,False
452,0.983,0.0236,0.5188,walk_forward,False
453,0.983,0.0719,0.5475,walk_forward,False
454,0.9838,0.1075,0.5245,walk_forward,False
455,0.9846,0.1214,0.5415,walk_forward,False
456,0.9856,0.1041,0.5298,walk_forward,False
457,0.9864,0.0923,0.5186,walk_forward,False
458,0.9871,0.0884,0.5038,walk_forward,False
459,0.9878,0.0692,0.5097,walk_forward,False
460,0.9884,0.0488,0.5029,walk_forward,False
461,0.9891,0.0694,0.5035,walk_forward,False
462,0.99,0.0949,0.484,walk_forward,False
463,0.991,0.1042,0.4773,walk_forward,False
464,0.992,0.1046,0.4774,walk_forward,False
465,0.9929,0.1175,0.4666,walk_forward,False
466,0.9937,0.1049,0.4764,walk_forward,False
467,0.9944,0.0839,0.4886,walk_forward,False
468,0.995,0.0804,0.4843,walk_forward,False
469,0.9955,0.0718,0.4856,walk_forward,False
470,0.9959,0.0665,0.4904,walk_forward,False
471,0.9966,0.097,0.4915,walk_forward,False
472,0.9973,0.1543,0.4679,walk_forward,False
473,0.9981,0.1977,0.4531,walk_forward,False
474,0.9988,0.212,0.4529,walk_forward,False
475,0.9994,0.2106,0.4625,walk_forward,False
476,0.9997,0.2072,0.4758,walk_forward,False
477,0.9999,0.1897,0.4931,walk_forward,False
478,1.0,0.1637,0.527,walk_forward,False
479,1.0,0.1525,0.5508,walk_forward,False
480,0.9999,0.1268,0.5744,walk_forward,False
481,0.9999,0.0404,0.5399,walk_forward,False
482,1.0,0.1606,0.4987,walk_forward,False
483,0.9999,0.3136,0.4893,walk_forward,False
484,0.9994,0.39,0.4607,walk_forward,False
485,0.9981,0.4386,0.4504,walk_forward,False
486,0.9961,0.4659,0.4816,walk_forward,False
487,0.9934,0.42,0.4835,walk_forward,False
488,0.9905,0.3461,0.4584,walk_forward,False
489,0.9876,0.3071,0.5026,walk_forward,False
490,0.9851,0.22,0.5195,walk_forward,False
491,0.9834,0.1187,0.5279,walk_forward,False
492,0.9829,0.0235,0.5163,walk_forward,False
493,0.983,0.0811,0.5571,walk_forward,False
494,0.9837,0.1127,0.5268,walk_forward,False
495,0.9846,0.1253,0.5458,walk_forward,False
496,0.9856,0.1066,0.538,walk_forward,False
497,0.9865,0.0994,0.5101,walk_forward,False
498,0.9872,0.0885,0.5087,walk_forward,False
499,0.9878,0.0663,0.5132,walk_forward,False
500,0.9883,0.0528,0.5024,walk_forward,True
501,0.9885,0.1021,0.5345,none,True
502,0.9888,0.1652,0.5359,none,True
503,0.9896,0.2598,0.6773,none,True
504,0.9903,0.3851,0.7739,none,True
505,0.9913,0.5022,0.7916,none,True
506,0.9925,0.6135,0.8265,none,True
507,0.9938,0.6899,0.9364,none,True
508,0.9949,0.7375,0.9747,none,True
509,0.996,0.7602,0.998,none,True
510,0.9969,0.769,0.9985,none,True
511,0.9979,0.7378,0.999,none,True
512,0.9986,0.7124,0.9993,none,True
513,0.9992,0.6552,0.9996,none,True
514,0.9996,0.5916,0.9998,none,True
515,0.9999,0.5249,0.9843,none,True
516,1.0,0.447,0.9246,none,True
517,1.0,0.3741,0.8639,none,True
518,0.9999,0.3,0.7969,none,True
519,0.9999,0.2361,0.7337,none,True
520,0.9998,0.1773,0.6726,none,True
521,0.9998,0.1302,0.6169,none,True
522,0.9997,0.0997,0.5703,none,True
523,0.9997,0.0791,0.5296,none,True
524,0.9998,0.075,0.4981,none,True
525,0.9998,0.0743,0.4744,none,True
526,0.9998,0.0743,0.4577,none,True
527,0.9999,0.074,0.4475,none,True
528,0.9999,0.0697,0.4424,none,True
529,0.9999,0.0641,0.4421,none,True
530,0.9999,0.0577,0.4446,none,True
531,1.0,0.0507,0.4495,none,True
532,1.0,0.0443,0.456,none,True
533,1.0,0.0391,0.4628,none,True
534,1.0,0.0352,0.4697,none,True
535,1.0,0.0323,0.4761,none,True
536,1.0,0.0305,0.4816,none,True
537,1.0,0.0282,0.4863,none,True
538,1.0,0.0261,0.4899,none,True
539,1.0,0.0237,0.4926,none,True
540,1.0,0.0207,0.4943,none,True
541,1.0,0.0177,0.4951,none,True
542,1.0,0.0145,0.4954,none,True
543,1.0,0.0117,0.495,none,True
544,1.0,0.0094,0.4943,none,True
545,1.0,0.0083,0.4934,none,True
546,1.0,0.0082,0.4923,none,True
547,1.0,0.009,0.4912,none,True
548,1.0,0.0101,0.4902,none,True
549,1.0,0.011,0.4893,none,True
550,1.0,0.0119,0.4886,none,True
551,1.0,0.0124,0.4881,none,True
552,1.0,0.0127,0.4877,none,True
553,1.0,0.0128,0.4876,none,True
554,1.0,0.0127,0.4876,none,True
555,1.0,0.0125,0.4877,none,True
556,1.0,0.0122,0.4879,none,True
557,1.0,0.0118,0.4883,none,True
558,1.0,0.0115,0.4886,none,True
559,1.0,0.0111,0.4891,none,True
560,1.0,0.0107,0.4895,none,True
561,1.0,0.0104,0.4899,none,True
562,1.0,0.01,0.4903,none,True
563,1.0,0.0096,0.4907,none,True
564,1.0,0.0092,0.4911,none,True
565,1.0,0.0089,0.4914,none,True
566,1.0,0.0086,0.4917,none,True
567,1.0,0.0083,0.492,none,True
568,1.0,0.008,0.4922,none,True
569,1.0,0.0077,0.4924,none,True
570,1.0,0.0075,0.4926,none,True
571,1.0,0.0073,0.4928,none,True
572,1.0,0.0072,0.4929,none,True
573,1.0,0.007,0.493,none,True
574,1.0,0.0069,0.4932,none,True
575,1.0,0.0067,0.4933,none,True
576,1.0,0.0066,0.4934,none,True
577,1.0,0.0065,0.4936,none,True
578,1.0,0.0063,0.4937,none,True
579,1.0,0.0062,0.4938,none,True
580,1.0,0.0061,0.494,none,True
581,1.0,0.0059,0.4941,none,True
