step,upright,speed,reward,skill_name,fault_active,emergency_pending
147,0.9982,0.2982,0.7323,flat_walk_trot,False,False
148,0.9977,0.2177,0.6286,flat_walk_trot,False,False
149,0.9975,0.1846,0.6266,flat_walk_trot,False,False
150,0.9969,0.2144,0.7112,flat_walk_trot,False,False
151,0.9975,0.2297,0.6073,flat_walk_trot,False,False
152,0.9981,0.3598,0.6151,flat_walk_trot,False,False
153,0.9987,0.4372,0.6229,flat_walk_trot,False,False
154,0.9994,0.3415,0.608,flat_walk_trot,False,False
155,0.9999,0.2949,0.6267,flat_walk_trot,False,False
156,0.9998,0.2675,0.4734,flat_walk_trot,False,False
157,0.9997,0.4712,0.3685,flat_walk_trot,False,False
158,0.9994,0.3978,0.4048,flat_walk_trot,False,False
159,0.999,0.3604,0.3634,flat_walk_trot,False,False
160,0.9977,0.295,0.3927,flat_walk_trot,False,False
161,0.9969,0.3417,0.4761,flat_walk_trot,False,False
162,0.9961,0.3306,0.569,flat_walk_trot,False,False
163,0.9948,0.3067,0.6392,flat_walk_trot,False,False
164,0.9939,0.3244,0.6099,flat_walk_trot,False,False
165,0.9936,0.2352,0.5518,flat_walk_trot,False,False
166,0.9936,0.1329,0.5613,flat_walk_trot,False,False
167,0.9948,0.2502,0.5403,flat_walk_trot,False,False
168,0.9964,0.2775,0.509,flat_walk_trot,False,False
169,0.9979,0.3753,0.5175,flat_walk_trot,False,False
170,0.9992,0.4675,0.4849,flat_walk_trot,False,False
171,0.9999,0.5354,0.4509,flat_walk_trot,False,False
172,0.9999,0.5702,0.4366,flat_walk_trot,False,False
173,0.9995,0.4813,0.4914,flat_walk_trot,False,False
174,0.9996,0.5343,0.6702,flat_walk_trot,False,False
175,0.9993,0.4529,0.6778,flat_walk_trot,False,False
176,0.9992,0.3284,0.6078,flat_walk_trot,False,False
177,0.9983,0.2672,0.6872,flat_walk_trot,False,False
178,0.9978,0.1705,0.5844,flat_walk_trot,False,False
179,0.9977,0.1315,0.5918,flat_walk_trot,False,False
180,0.9972,0.1891,0.6858,flat_walk_trot,False,False
181,0.9977,0.1838,0.5798,flat_walk_trot,False,False
182,0.9984,0.3386,0.5916,flat_walk_trot,False,False
183,0.999,0.4443,0.5869,flat_walk_trot,False,False
184,0.9996,0.4213,0.5997,flat_walk_trot,False,False
185,0.9999,0.3883,0.6703,flat_walk_trot,False,False
186,0.9998,0.2115,0.5404,flat_walk_trot,False,False
187,0.9998,0.4333,0.4106,flat_walk_trot,False,False
188,0.9995,0.3676,0.4559,flat_walk_trot,False,False
189,0.9991,0.329,0.4256,flat_walk_trot,False,False
190,0.998,0.3031,0.4563,flat_walk_trot,False,False
191,0.9971,0.3357,0.5642,flat_walk_trot,False,False
192,0.9963,0.3363,0.5888,flat_walk_trot,False,False
193,0.995,0.3321,0.634,flat_walk_trot,False,False
194,0.9941,0.3327,0.6448,flat_walk_trot,False,False
195,0.9937,0.2406,0.5322,flat_walk_trot,False,False
196,0.9939,0.1819,0.5393,flat_walk_trot,False,False
197,0.9951,0.235,0.5596,flat_walk_trot,False,False
198,0.9966,0.2857,0.4937,flat_walk_trot,False,False
199,0.9981,0.3806,0.4894,flat_walk_trot,False,False
200,0.9993,0.4505,0.4967,flat_walk_trot,False,False
201,1.0,0.5484,0.4668,flat_walk_trot,False,False
202,0.9999,0.5848,0.4112,flat_walk_trot,False,False
203,0.9996,0.427,0.5148,flat_walk_trot,False,False
204,0.9996,0.5268,0.7019,flat_walk_trot,False,False
205,0.9994,0.4212,0.663,flat_walk_trot,False,False
206,0.9992,0.3076,0.6384,flat_walk_trot,False,False
207,0.9983,0.3354,0.742,flat_walk_trot,False,False
208,0.998,0.2078,0.6387,flat_walk_trot,False,False
209,0.9977,0.1749,0.6501,flat_walk_trot,False,False
210,0.9972,0.2093,0.7079,flat_walk_trot,False,False
211,0.9977,0.2075,0.6043,flat_walk_trot,False,False
212,0.9984,0.3536,0.6107,flat_walk_trot,False,False
213,0.999,0.4567,0.6136,flat_walk_trot,False,False
214,0.9996,0.4279,0.6157,flat_walk_trot,False,False
215,0.9999,0.3764,0.6716,flat_walk_trot,False,False
216,0.9998,0.2476,0.538,flat_walk_trot,False,False
217,0.9998,0.4593,0.3932,flat_walk_trot,False,False
